VAE-izx,CVAE-izx,lambda=0.8 (izx),lambda=0.2 (izx),VAE-izy,CVAE-izy,lambda=0.8 (izy),lambda=0.2 (izy)
9.570216908,7.155971801,8.713638061,8.717284516,1.917205396,2.93010282,3.316911872,3.315202842
9.567226009,7.14997406,8.848774535,8.856148688,1.918142821,2.930946921,3.299220058,3.313705786
9.561672225,7.14974786,8.676119517,8.667980621,1.92142208,2.931381993,3.291779476,3.315116812
9.570691018,7.151338246,8.714988473,8.704880342,1.923689909,2.930333483,3.318689107,3.314292938
9.58462667,7.169570286,8.671009568,8.670513575,1.921012017,2.933897592,3.321034316,3.314758384
9.563972087,7.177898991,8.568684827,8.581718327,1.921022129,2.93355759,3.309022306,3.315441566
9.590644875,7.191644957,8.58227745,8.590903173,1.928056913,2.932416654,3.304927993,3.314638287
9.606676302,7.175728531,8.560234021,8.558694063,1.934535024,2.934193218,3.304512319,3.314693395
9.607319179,7.190640285,8.455969908,8.464284207,1.932563647,2.934195085,3.328904291,3.315385909
9.60710465,7.191359055,8.492129958,8.490384792,1.935803165,2.936107171,3.319778851,3.314583385
9.613207254,7.191694922,8.458150216,8.454338165,1.932496806,2.935039964,3.303070855,3.315134515
9.620397978,7.20827899,8.388552469,8.385467398,1.937045911,2.937326415,3.300129792,3.315637197
9.603613935,7.198117418,8.335627945,8.348637286,1.93168231,2.935746666,3.329279607,3.315238129
9.615766053,7.219234889,8.448141365,8.43279686,1.931901549,2.938104242,3.307207836,3.314854658
9.618129048,7.202142236,8.246316418,8.248801022,1.941836584,2.937251306,3.31827502,3.315543778
9.606106505,7.204329076,8.26955777,8.284034793,1.940932726,2.937666702,3.298376902,3.315471134
9.612066731,7.206970377,8.17156234,8.182034758,1.942555376,2.93685127,3.315272058,3.316014044
9.628478003,7.216429756,8.370587303,8.36771307,1.947824312,2.938887508,3.312952379,3.314785457
9.650537357,7.225128496,8.21210948,8.221975858,1.950437003,2.940513997,3.318013281,3.315505602
9.625268555,7.233794336,8.251690517,8.248420988,1.948267619,2.938953619,3.302664851,3.315187358
9.633907938,7.227108657,8.091374497,8.096120507,1.945265081,2.939164562,3.324150501,3.3158385
9.646803885,7.238260441,8.058238438,8.059705925,1.943482535,2.941700423,3.33176101,3.31587658
9.614337749,7.23289278,8.154244568,8.151535897,1.937436888,2.941166893,3.318084541,3.31497421
9.634213424,7.244616296,8.146787085,8.158257555,1.943507355,2.942437288,3.313500502,3.316022961
9.650071983,7.235750444,8.160777502,8.17051848,1.948547781,2.940481719,3.320934254,3.31524935
9.634623003,7.247073696,8.081176146,8.084066657,1.945452955,2.9415837,3.326636142,3.315723493
9.631262102,7.253122232,8.065307552,8.067428802,1.951226526,2.942994688,3.303081924,3.315566814
9.655565391,7.251242299,8.125934124,8.128863419,1.952196795,2.941697308,3.320798905,3.315852891
9.668989348,7.262403402,8.161441096,8.166790197,1.959026716,2.94343079,3.303437225,3.315109435
9.676001096,7.252088814,8.024484282,8.022623916,1.957350476,2.943196855,3.326855898,3.315895852
9.665918803,7.273355215,7.939069158,7.920351496,1.958365169,2.943964822,3.321915289,3.316412352
9.68051311,7.281366282,7.803160731,7.832751619,1.964265252,2.944107906,3.319783965,3.316239315
9.661890926,7.271074061,7.853308121,7.859049491,1.962305909,2.943507158,3.315405042,3.315267397
9.680144992,7.273909686,7.828115442,7.833292575,1.962460359,2.945985756,3.321100894,3.315982804
9.669792833,7.292913713,7.947810746,7.93395408,1.954442827,2.944661649,3.318207939,3.315656799
9.638780379,7.283180165,7.877324378,7.878518529,1.933344304,2.946322612,3.294410591,3.315945315
9.618528342,7.294632704,7.845174774,7.840127405,1.929421052,2.944483194,3.329668131,3.316105679
9.657827659,7.289999402,7.717195432,7.71590216,1.948315912,2.947522652,3.316182137,3.316127105
9.673774972,7.305239689,7.785959371,7.784942906,1.961655983,2.94556729,3.318805421,3.315902668
9.681201329,7.296457565,7.757971821,7.768609272,1.965242367,2.947112399,3.307857793,3.316292602
9.688187594,7.325004292,7.68914631,7.70049458,1.963383343,2.946461166,3.32451863,3.316292487
9.70255012,7.310455906,7.762127281,7.780133622,1.966749237,2.94886445,3.307939921,3.316150825
9.706080332,7.306819077,7.663424035,7.667738106,1.971268401,2.946418082,3.306168114,3.316297343
9.696234236,7.334725602,7.76874704,7.765667107,1.967616172,2.948708532,3.317222319,3.316257967
9.716413584,7.3242469,7.737485424,7.729592099,1.967377347,2.948222008,3.301937516,3.31567696
9.699696484,7.311163521,7.721644905,7.738197084,1.969639456,2.948756046,3.300995889,3.316041797
9.706398563,7.33267297,7.738893176,7.74797371,1.971199548,2.948921795,3.302972002,3.315869714
9.718994679,7.328105717,7.693022918,7.684501505,1.976371679,2.94947721,3.315209242,3.316439388
9.721423025,7.331090469,7.631705453,7.638858336,1.979107946,2.948880991,3.326851217,3.31606994
9.72316854,7.336972511,7.533402753,7.536670907,1.982996351,2.949715927,3.305500089,3.31652962
9.736978235,7.349419949,7.684043743,7.671924153,1.984579294,2.949818491,3.308775083,3.316037384
9.735576987,7.339541187,7.541747021,7.525093376,1.986698388,2.950190881,3.3132052,3.316478747
9.734258966,7.352848208,7.572489366,7.563619166,1.984503136,2.951038427,3.333372373,3.316473078
9.719768186,7.345368614,7.444977045,7.462706936,1.979505541,2.951135198,3.328260776,3.316802483
9.737114248,7.347562666,7.567355028,7.564251834,1.98298674,2.952518176,3.309829762,3.316062212
9.740661459,7.355518508,7.549955591,7.540491054,1.980289366,2.950655594,3.319743937,3.316723439
9.749585967,7.357241521,7.463767452,7.461284029,1.976345837,2.951227813,3.32588811,3.316454785
9.748333888,7.36302984,7.584020173,7.575712363,1.980122433,2.950956748,3.339135675,3.316368737
9.758834939,7.370306337,7.450146203,7.462069337,1.987525742,2.951627041,3.313157627,3.316691074
9.775977492,7.365245261,7.451811405,7.449779722,1.991252178,2.95363481,3.313249116,3.316498976
9.748621969,7.387169864,7.37074188,7.3684713,1.976611212,2.951704319,3.324456756,3.316806984
9.75527205,7.365225909,7.384817536,7.367136674,1.989371231,2.954092094,3.327412082,3.316508901
9.751653414,7.378271515,7.390263733,7.395788404,1.983565829,2.953136853,3.3201829,3.31670987
9.768267264,7.385280542,7.41419666,7.428375589,1.985143952,2.953609569,3.330251786,3.316071284
9.783832521,7.375956779,7.422179568,7.418095882,1.992130937,2.952647015,3.31487677,3.316732079
9.778379641,7.386431313,7.270709775,7.28405063,1.989256239,2.953965279,3.310252571,3.316957356
9.780489364,7.392995167,7.347313997,7.330797861,1.992767963,2.954687569,3.31643251,3.316793472
9.787086811,7.382228317,7.41197842,7.410927859,1.997272877,2.952404072,3.345626783,3.316549472
9.782993197,7.392922792,7.331774158,7.334093839,2.000659744,2.953571661,3.300601903,3.316510004
9.792598734,7.39801404,7.292657973,7.294321719,2.003030012,2.95451369,3.313394671,3.317026683
9.801575837,7.397279487,7.259750341,7.248791518,1.997429119,2.954716103,3.316590105,3.316702651
9.791695342,7.395639355,7.293664022,7.297729045,1.999098777,2.953281755,3.326072774,3.316638756
9.813256159,7.414065671,7.342011494,7.351248564,2.004661928,2.955786595,3.318804712,3.316942278
9.79575562,7.408623028,7.232223727,7.218710466,2.003087334,2.956468073,3.32701979,3.317040454
9.801450644,7.409880555,7.257395779,7.262131468,2.004437246,2.95492877,3.311826859,3.316908317
9.746749334,7.419229937,7.119760379,7.104042866,1.985054457,2.954428958,3.299333095,3.317284212
9.796264558,7.429790251,7.190229522,7.193295536,2.005484944,2.956176186,3.307165926,3.316399781
9.779484344,7.420863082,7.308858502,7.307097097,2.006331987,2.955366437,3.316309965,3.316258674
9.795101109,7.412991295,7.226362228,7.232949795,2.009496274,2.956257174,3.312146796,3.317170607
9.811554837,7.430911121,7.27651863,7.260279249,2.007495775,2.955560111,3.316646795,3.316540774
9.806492972,7.428657708,7.094463353,7.093486468,2.014939824,2.957388648,3.295052122,3.317142829
9.808227592,7.437725132,7.113235902,7.108406169,2.010441105,2.9562754,3.317552591,3.316914506
9.823706145,7.435717783,7.130157196,7.122541895,2.012341364,2.956638098,3.311055711,3.316724641
9.822310805,7.455593226,7.134032938,7.155696996,2.017221027,2.95856838,3.308268487,3.316587617
9.842641335,7.449412599,7.161424674,7.164149598,2.017565259,2.957174288,3.325695938,3.317164602
9.839860783,7.44047925,7.112747193,7.108164224,2.018404775,2.957385994,3.301164072,3.316738789
9.824564342,7.441589901,7.097490118,7.093145103,2.020157054,2.957132971,3.30790142,3.317267798
9.830663643,7.449344206,7.03830985,7.04937896,2.016669193,2.957821001,3.323988708,3.316836261
9.835954547,7.463421621,7.236438575,7.228668828,2.01555059,2.957826685,3.323793773,3.316251303
9.852679,7.464900408,7.09388221,7.090587119,2.016121832,2.958156834,3.319203926,3.317096318
9.845035844,7.452713754,6.994103435,6.987350539,2.011686491,2.958765452,3.311782767,3.31746103
9.823321886,7.452202425,7.043731857,7.024850253,2.016137397,2.957687263,3.311727286,3.317046449
9.820995913,7.456056395,7.052004939,7.060017059,2.021002258,2.958873543,3.32251134,3.317058316
9.818414164,7.468772078,6.99911012,6.986332087,2.023597768,2.958514307,3.341622019,3.317196223
9.84010469,7.462160323,7.103964267,7.104238072,2.028805705,2.960294923,3.320135499,3.316447527
9.836195946,7.470981731,7.093136522,7.097877898,2.029094151,2.96071664,3.309459329,3.316882346
9.838910232,7.463759925,7.087754016,7.089588424,2.035349219,2.959166576,3.309428947,3.317270049
9.847687831,7.472903247,6.970363969,6.969405999,2.031862821,2.96047881,3.299616972,3.3170234
9.835082197,7.48308352,7.026645154,7.030199258,2.033944148,2.960558553,3.30514194,3.317156944
9.844385662,7.477873924,6.933999434,6.943479036,2.034793065,2.959047809,3.314798658,3.317085369
9.850221868,7.484673567,6.992472398,6.984005899,2.03269379,2.960864257,3.311824272,3.316805629
9.849627533,7.487380135,7.099280615,7.09954116,2.029477108,2.960806962,3.327972222,3.316876736
9.865423231,7.490145881,6.997365088,7.016068236,2.038329163,2.960548905,3.327168615,3.317069099
9.88857615,7.504390376,6.960460198,6.967284727,2.032877475,2.960705254,3.323726881,3.317233715
9.876459002,7.505026343,6.868204806,6.891402587,2.012393573,2.961369241,3.330403274,3.317402291
9.860311422,7.510387182,6.875757517,6.879741217,2.030359094,2.96271274,3.298923366,3.317427199
9.829219265,7.50664001,6.922119326,6.929379479,2.033724256,2.961206793,3.315780426,3.317311974
9.865143661,7.516625473,6.946153094,6.950956626,2.03784565,2.962534355,3.326405058,3.317191825
9.870775738,7.507341473,6.85736249,6.864621326,2.044450635,2.961474878,3.315126159,3.31747025
9.857805958,7.507937338,6.895273833,6.902002226,2.038719956,2.963442727,3.325845618,3.317298442
9.876140652,7.50657213,6.935711517,6.936678916,2.043317837,2.962752019,3.304746963,3.317136563
9.877857866,7.51646282,6.923768535,6.91027701,2.043365461,2.962619598,3.336943014,3.317014024
9.881624517,7.529649093,6.865574207,6.860636595,2.043003694,2.963268956,3.320058031,3.317498974
9.87716908,7.515291646,6.934177087,6.923689302,2.04096557,2.963016459,3.310576167,3.317013309
9.891091781,7.531408606,6.870147489,6.866036429,2.041818538,2.963144047,3.314453869,3.317461393
9.887962627,7.540518785,6.815693839,6.823915552,2.04223623,2.96313517,3.314295677,3.31737643
9.905409513,7.519507079,6.883797217,6.88189311,2.038537511,2.963594465,3.312097894,3.317195405
9.906865454,7.545127838,6.793955736,6.80055884,2.040139161,2.963504701,3.322116084,3.317593398
9.902155886,7.537221239,6.779024359,6.789270151,2.044747292,2.963221762,3.325336276,3.317482777
9.89182353,7.545323722,6.857820835,6.867130981,2.040096626,2.963000455,3.313621162,3.316990728
9.922109194,7.543894393,6.865470938,6.856075966,2.038201998,2.964261068,3.310519559,3.317239379
9.920516,7.552051539,6.779365571,6.775332771,2.045881552,2.964398849,3.304007738,3.317416848
9.890904684,7.533375616,6.803071501,6.807546765,2.042807992,2.964841651,3.32355965,3.317440383
9.87949245,7.543890579,6.822161277,6.833219951,2.035933282,2.964173352,3.30972363,3.317025727
9.908287702,7.547805681,6.824299115,6.83262969,2.041931355,2.964399922,3.317076301,3.317456067
9.919838595,7.558480151,6.799448176,6.792460784,2.042552347,2.966354413,3.311597612,3.317704366
9.931173224,7.575450563,6.773027576,6.786117165,2.045237477,2.963145757,3.29960781,3.317392687
9.919585056,7.56051079,6.776093707,6.771584354,2.047172989,2.965689145,3.333956772,3.3171463
9.920771141,7.566492105,6.825263165,6.80842604,2.044999753,2.9655475,3.318596263,3.317629279
9.928808289,7.559909141,6.770548046,6.762567929,2.04013568,2.966174927,3.348278014,3.317154762
9.891175714,7.567565706,6.774166271,6.784259288,2.037601706,2.96562768,3.30497057,3.317391036
9.920413408,7.568849175,6.731374322,6.732460188,2.049635075,2.965321296,3.329741628,3.317555144
9.895421352,7.583315005,6.768133289,6.76394548,2.049731918,2.966063771,3.315964565,3.317386676
9.937555218,7.579863713,6.739179988,6.733539854,2.027548342,2.965890809,3.318367031,3.317605168
9.92390409,7.580960884,6.661574865,6.689300387,2.043566636,2.965538175,3.324207275,3.317488495
9.918272667,7.571816134,6.697319886,6.71008442,2.05101815,2.966652999,3.31154245,3.317548221
9.92215858,7.583806829,6.705686943,6.701030275,2.052859768,2.965726584,3.318981534,3.317349292
9.919942598,7.593587639,6.756269557,6.761000066,2.052830741,2.966635764,3.322683935,3.317530841
9.93952889,7.592655952,6.71269668,6.718172203,2.052404218,2.966679552,3.320468918,3.317255192
9.939091778,7.595822031,6.722498184,6.714154593,2.048072163,2.966284568,3.313645183,3.317550437
9.945214453,7.59326818,6.68569979,6.690883353,2.039887836,2.96724789,3.318358951,3.317500159
9.952818503,7.589723685,6.748911437,6.723870999,2.043682845,2.96737534,3.314650207,3.31710066
9.952884126,7.59867394,6.664006467,6.654995482,2.046732683,2.966525216,3.323035628,3.317587295
9.953299079,7.589420061,6.691664219,6.683883472,2.054495898,2.968163726,3.295947261,3.317480344
9.945347629,7.605999441,6.652512579,6.656247153,2.03954748,2.968752705,3.304503601,3.317377958
9.943272986,7.61241785,6.59067392,6.60466624,2.046377223,2.966017869,3.316742041,3.317581823
9.942541828,7.602626774,6.639449736,6.635583128,2.053566574,2.969030401,3.306855568,3.317591355
9.963566437,7.618523223,6.650208929,6.653149736,2.05318139,2.969034061,3.335511029,3.317439303
9.949397297,7.617878065,6.621350926,6.633572989,2.046928473,2.967841047,3.315709575,3.317510171
9.959693923,7.618281415,6.680908968,6.671397652,2.050827231,2.967878623,3.316300314,3.317311786
9.95034873,7.619209864,6.704992973,6.695453687,2.055026891,2.967234467,3.330002783,3.317554672
9.94603591,7.616834297,6.637981062,6.654023695,2.059431034,2.968778963,3.327473647,3.317154211
9.967183194,7.636679151,6.691458638,6.692739843,2.05883411,2.968640412,3.307336511,3.317536718
9.962472291,7.636390646,6.599018176,6.597251254,2.059059178,2.967139904,3.331353038,3.31754122
9.960934286,7.635780175,6.669283261,6.66579945,2.063963404,2.9698541,3.315110368,3.317278982
9.977385516,7.62937227,6.597481657,6.602001177,2.06763269,2.969172577,3.298257242,3.31784386
9.965253229,7.642880447,6.625711094,6.640690781,2.066426413,2.96757158,3.311999195,3.317345557
9.992280631,7.64018357,6.639489882,6.647353706,2.063761721,2.969580227,3.316838456,3.317584937
9.981103253,7.637631834,6.65434773,6.651528981,2.064197107,2.969722427,3.306882253,3.317590925
9.967114482,7.641571577,6.561024298,6.581118236,2.075302212,2.969062613,3.312049479,3.317864223
9.97878377,7.656032298,6.618109925,6.608929859,2.07652261,2.97009958,3.312385443,3.317166371
9.979460621,7.637617402,6.601129244,6.60940648,2.072075647,2.968395483,3.326812307,3.317743044
9.958840437,7.641553848,6.591718132,6.580116108,2.060846117,2.968969399,3.322090886,3.317278517
9.947404118,7.644288187,6.631917998,6.610364785,2.053954263,2.970852662,3.307976786,3.317358842
9.946961818,7.628437054,6.571093336,6.558911462,2.054711082,2.969791499,3.320410407,3.317672974
9.945304523,7.652372568,6.643010937,6.650484392,2.046604781,2.969538903,3.31469892,3.317259716
9.962038803,7.649868467,6.50814486,6.511886899,2.065631353,2.970501227,3.336660346,3.317830768
9.977551675,7.658931074,6.555855006,6.549753571,2.072336422,2.971040597,3.30475841,3.317491204
9.966583004,7.655553143,6.543803568,6.57563497,2.069039084,2.970691439,3.307634488,3.317809591
9.971990504,7.659742546,6.659620045,6.640283367,2.06813412,2.970625248,3.324814812,3.31748067
9.9839327,7.656490133,6.640962356,6.631320586,2.078058045,2.970616267,3.324586848,3.317522118
9.976249037,7.656224651,6.550968572,6.556929609,2.076767023,2.971997895,3.314028436,3.317672451
9.997234368,7.674168797,6.623279366,6.631743329,2.075939853,2.969308442,3.344604953,3.317685316
10.00580877,7.669480581,6.539686916,6.541397896,2.077827829,2.972589391,3.321454999,3.317655072
9.994288278,7.666017256,6.510761587,6.51436484,2.077503709,2.970241636,3.300348207,3.317611296
10.01187366,7.666483786,6.579589349,6.591550625,2.076186051,2.971948223,3.310894258,3.317599126
10.00607715,7.67896117,6.568379549,6.569505317,2.079371145,2.970872085,3.301323087,3.317511599
10.01343307,7.666559434,6.555549718,6.545530994,2.082896647,2.970955952,3.31482734,3.317472296
10.01012582,7.685702024,6.51684832,6.504379223,2.080165192,2.973588736,3.319849396,3.317679731
10.01889035,7.68055459,6.494727982,6.506852429,2.08288132,2.971008317,3.313704533,3.317818601
10.01806527,7.677558486,6.463585596,6.474202147,2.083514489,2.971706736,3.318083791,3.317750719
